序号,姓名,桌号1,桌号2,能否抽奖,是否跳过签到
1,张1,1,1,1,1
2,张2,1,1,0,1
3,张3,1,1,1,1
4,张4,1,1,0,1
5,张5,1,1,1,1
6,张6,2,2,0,1
7,张7,2,2,1,1
8,张8,2,2,0,1
9,张9,2,2,1,1
10,张10,2,2,0,0
11,张11,3,3,1,0
12,张12,3,3,0,0
13,张13,3,3,1,0
14,张14,3,3,0,0
15,张15,3,3,1,0
16,张16,4,4,0,0
17,张17,4,4,1,0
18,张18,4,4,0,0
19,张19,4,4,1,0
20,张20,4,4,0,0
21,张21,5,5,1,0
22,张22,5,5,0,0
23,张23,5,5,1,0
24,张24,5,5,0,0
25,张25,5,5,1,0
26,张26,6,6,0,0
27,张27,6,6,1,0
28,张28,6,6,0,0
29,张29,6,6,1,0
30,张30,6,6,0,0
31,张31,7,7,1,0
32,张32,7,7,0,0
33,张33,7,7,1,0
34,张34,7,7,0,0
35,张35,7,7,1,0
36,张36,8,8,0,0
37,张37,8,8,1,0
38,张38,8,8,0,0
39,张39,8,8,1,0
